,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,5360.0,,5387.0,5339.0,5387.0,5387.0,,,,5387.0,,,,2012.0,,5387.0,5387.0,,,,,5339.0,5330.0,63.9,,,5391.0,,,,,5339.0,,,5398.0,,,,,,,5387.0,,,,,,,5387.0,,,,,,,,,,,5397.0,,,,,,,,,,,,5387.0,,5339.0,,,,,,,,,,,,,5387.0,,,5393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2782.0,,,,,2806.0,745.0,,,5387.0,2787.0,745.0,,745.0,,,,5384.0,,,,,,2806.0,5384.0,,745.0,745.0,5147.0,,,2785.0,2808.0,,,,767.0,5385.0,2806.0,2811.0,,,,5378.0,,,2809.0,,,745.0,5210.0,,2809.0,,1197.0,,,,,1197.0,,,,761.0,134.0,,769.0,,,5384.0,,2811.0,,,,,771.0,2800.0,,,,,,,,,,,,,5384.0,,,,,,,,,,,,,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,78.7,,,,,54.7,,,,,,,,,,87.9,,
2,5339.0,,5398.0,5397.0,5398.0,5398.0,,,,5398.0,,,,5120.0,,5398.0,5398.0,,,,,5397.0,5374.0,67.6,,,5397.0,,,,,5397.0,,,5398.0,,,,,,,5398.0,,,,,,,5398.0,,,,,,,,,,,5397.0,,,,,,,,,,,,5398.0,,5397.0,,226.0,,,,,,226.0,,,,,5398.0,,,5398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5360.0,,5387.0,5397.0,5387.0,5387.0,,,,5387.0,,,,2017.0,,5387.0,5387.0,,,,,5397.0,5330.0,63.9,,,5391.0,,,,,5385.0,,,5398.0,,,,,,,5387.0,,,,,,,5387.0,,,,,,,,,,,5397.0,,,,,,,,,,,,5387.0,,5397.0,,,,,,,,,,,,,5387.0,,,5393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5090.0,,5398.0,5142.0,5398.0,5398.0,,,,5398.0,,,,1917.0,,5398.0,5398.0,,,,,5142.0,5330.0,67.6,,,5397.0,,,,,5136.0,,,5398.0,,,,,,,5398.0,,,,,,,5398.0,,,,,,,,,,,5397.0,,,,,,,,,,,,5398.0,,5142.0,,,,,,,,,,,,,5398.0,,,5398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5339.0,,5398.0,5397.0,5398.0,5398.0,,,,5398.0,,,,5120.0,,5398.0,5398.0,,,,,5397.0,5374.0,67.6,,,5397.0,,,,,5397.0,,,5398.0,,,,,,,5398.0,,,,,,,5398.0,,,,,,,,,,,5397.0,,,,,,,,,,,,5398.0,,5397.0,,,,,,,,,,,,,5398.0,,,5398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2782.0,,,,,2806.0,857.0,,,5387.0,2787.0,857.0,,857.0,,,,5373.0,,,,,,2817.0,5384.0,,857.0,857.0,5147.0,,,2795.0,2808.0,,,,767.0,5385.0,2806.0,2811.0,,,,5378.0,,,2809.0,,,857.0,5345.0,,2809.0,,1197.0,,,,,1197.0,,,,761.0,134.0,,769.0,,,5384.0,,2811.0,,,,,771.0,2800.0,,,,,,,,,,,,,5384.0,,,,,,,,,,,,,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,78.7,,,,,54.7,,,,,,,,,,87.9,,
7,,,,,,,,5363.0,,,745.0,,5363.0,,5361.0,,,,734.0,,,,,,,734.0,,5361.0,5363.0,244.0,,,,,,,,,734.0,,,,,,745.0,,,,,,5363.0,857.0,,,,676.0,,,,,676.0,,,,,,,,,,734.0,,,,,,,,,,,,,,,,,,,,,734.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,102.0,,76.8,,,,,,,,,,,,,,,,76.8,,
8,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5339.0,,5398.0,5397.0,5398.0,5398.0,,,,5398.0,,,,5120.0,,5398.0,5398.0,,,,,5397.0,5374.0,67.6,,,5397.0,,,,,5397.0,,,5398.0,,,,,,,5398.0,,,,,,,5398.0,,,,,,,,,,,5397.0,,,,,,,,,,,,5398.0,,5397.0,,,,,,,,,,,,,5398.0,,,5398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
